Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
03-OCT-2024,22069.45,22277.25,21847.4,21904.7,1050081718,27905.89
04-OCT-2024,21878.65,21983.05,21496.2,21710.6,1101674692,26269.37
07-OCT-2024,21795.95,21834.25,21106.05,21264.5,1434902338,25819.77
08-OCT-2024,21191,21726.4,21119.45,21685.65,1145475009,26845.56
09-OCT-2024,21831.8,22040,21817.7,21918.3,1061356306,25841.77
10-OCT-2024,22037.2,22087.4,21850.1,21885.65,711858521,23852.44
11-OCT-2024,21917.85,21994.3,21851.3,21979.15,756607443,22271.19
14-OCT-2024,22029.95,22072.95,21920.5,22058.8,702987044,23298.22
15-OCT-2024,22136.15,22146.15,22020,22128.65,724474733,20839.95
16-OCT-2024,22103.4,22151.05,21979.3,22085.1,719703976,23619.67
17-OCT-2024,22116.05,22123.25,21702.2,21718.5,716973745,20746.08
18-OCT-2024,21625.75,21785.35,21384,21755.65,697277400,23073.23
21-OCT-2024,21807.5,21869.5,21406.2,21429.9,914889401,23628.08
22-OCT-2024,21436.75,21468.9,20850.45,20879.45,1041925627,23686.7
23-OCT-2024,20846.3,21162.35,20655.85,20985.25,1131907213,29335.5
24-OCT-2024,20987.4,21074.75,20884.15,20932.75,862131148,23905.58
25-OCT-2024,20983.85,20996.65,20365.8,20563.7,1252395163,27742.59
28-OCT-2024,20575.75,20773.95,20472.2,20695.55,1597466390,21641.65
29-OCT-2024,20779.95,20888.8,20516.85,20867.4,1103415240,22090.41
30-OCT-2024,20836.9,21067.6,20773.3,20916.7,1563990964,23855.24
31-OCT-2024,20919.35,20942.55,20750.35,20876.7,1230417618,20257.54
01-NOV-2024,21014.75,21077.6,20993,21021.1,357184873,2978.29
04-NOV-2024,21042.4,21042.4,20663.45,20767.4,1116387645,18058.46
05-NOV-2024,20737.2,20882.75,20563.7,20862.1,1036272658,21249.43
06-NOV-2024,20972.9,21324.2,20945.9,21298.5,872200950,25340.31
07-NOV-2024,21388.15,21434.75,21173.45,21194.85,833648953,20041.02
08-NOV-2024,21229.85,21235,20870.15,20919.9,827277851,22198
11-NOV-2024,20871,20923.75,20714.45,20749.95,865603274,19057.72
12-NOV-2024,20825.25,20935.45,20507.4,20560.6,697137056,18050.73
13-NOV-2024,20478.7,20506.7,19955.75,20010.75,1084267964,20055.21
14-NOV-2024,20033.45,20247.2,20030.4,20105.25,850356467,17430.04
18-NOV-2024,20181.8,20213.9,19936.85,20068.55,974734654,19623.02
19-NOV-2024,20143.5,20429.2,20142.4,20258.1,833782927,17801.23
21-NOV-2024,20247.25,20270.4,20014.25,20180.9,1252970184,21073.68
22-NOV-2024,20208.6,20427,20171.2,20412.65,1132299740,18304.4
25-NOV-2024,20742.9,20833.1,20706.2,20725.7,1733925444,47876.4
26-NOV-2024,20799.65,20880.8,20718.4,20735.1,2247993244,18794.21
27-NOV-2024,20794.4,20849.85,20650.15,20838.2,1584854521,20348.67
28-NOV-2024,20885.65,21001.3,20794.2,20839.9,1582476965,21473.65
29-NOV-2024,20860.05,20941.1,20792.7,20906.65,1052664834,20916.59
02-DEC-2024,20911.05,21126.45,20849.65,21105.95,772392907,19311.9
03-DEC-2024,21228.05,21303.75,21193,21291.35,850195376,22190.72
04-DEC-2024,21368.1,21500.05,21327.75,21485.15,1115828398,23761.12
05-DEC-2024,21595.8,21602.75,21431,21577.65,1446314987,26553.12
06-DEC-2024,21622.55,21686.95,21532.65,21665.4,1002755949,22680.5
09-DEC-2024,21661,21774.85,21646.5,21748.5,802649048,21637.61
10-DEC-2024,21774.5,21824,21703.95,21809.1,888095486,20859.49
11-DEC-2024,21825.55,21898.85,21807.8,21879.55,662062764,16111.45
12-DEC-2024,21907.5,21917.55,21744.15,21770.05,780288094,18083.91
13-DEC-2024,21722.65,21762.15,21411.7,21748.1,1011159095,18888.37
16-DEC-2024,21805.45,21914.65,21794.5,21898.8,547509683,18150.4
17-DEC-2024,21904.75,21960.25,21724.7,21754.1,915229826,22622.52
18-DEC-2024,21756.6,21770.1,21531.75,21623.1,855470792,20218.25
19-DEC-2024,21267.3,21588.55,21247.9,21571.3,664142280,18225.35
20-DEC-2024,21638.95,21665.3,21017.7,21050.6,966251559,24591.78
